[2024-06-14 19:30:00] [INFO     discord.client: logging in using static token
[2024-06-14 19:30:01] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: d1c0d96002b02716bcd3d49dd4956631).
[2024-06-14 19:30:33] [INFO     discord.client: logging in using static token
[2024-06-14 19:30:34] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: c98bc87650c1f1f914f48f0f922d5684).
[2024-06-14 19:31:21] [INFO     discord.client: logging in using static token
[2024-06-14 19:31:22] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: e5630e186f5ff899bde185e506941b11).
[2024-06-14 19:34:38] [INFO     discord.client: logging in using static token
[2024-06-14 19:34:39] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 0700af15c16c364ddf64f3fe01ecac95).
[2024-06-14 19:36:23] [INFO     discord.client: logging in using static token
[2024-06-14 19:36:24] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 199f051339a13ae01f0b08c343b58fa0).
[2024-06-14 19:38:21] [INFO     discord.client: logging in using static token
[2024-06-14 19:38:22] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 88fad04c916461df979697c7127a740e).
[2024-06-14 19:39:03] [INFO     discord.client: logging in using static token
[2024-06-14 19:39:04] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 163075615ece0c1c474bdca9cf392312).
[2024-06-14 19:40:25] [INFO     discord.client: logging in using static token
[2024-06-14 19:40:25] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: fd3890e8e5a36f4d4375191670451081).
[2024-06-14 19:40:32] [ERROR    discord.ext.commands.bot: Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "cat]" is not found
[2024-06-14 19:48:22] [INFO     discord.client: logging in using static token
[2024-06-14 19:48:23] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 5f06b829864c6ba85c0cc5e9d11f941c).
[2024-06-14 19:50:08] [INFO     discord.client: logging in using static token
[2024-06-14 19:50:09] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 21a4a842004081617d3798a66322a969).
[2024-06-14 19:52:51] [INFO     discord.client: logging in using static token
[2024-06-14 19:52:52] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 83ae30a40e469869d59ce9f6e7b8c47e).
[2024-06-14 19:53:46] [INFO     discord.client: logging in using static token
[2024-06-14 19:53:47] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: af7f5803109f6c22016b80ab6452a4f0).
[2024-06-14 20:26:13] [INFO     discord.client: logging in using static token
[2024-06-14 20:26:14] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 8981aeee74f945748694789847850f89).
[2024-06-14 20:29:49] [INFO     discord.client: logging in using static token
[2024-06-14 20:29:50] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: b5cfdf00ed13db1e0116397cab2e95ce).
[2024-06-14 20:37:08] [INFO     discord.client: logging in using static token
[2024-06-14 20:37:09] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 4f526f0f9df1115b314b7d8ac4eaef1d).
[2024-06-14 20:37:18] [ERROR    discord.ext.commands.bot: Ignoring exception in command None
discord.ext.commands.errors.CommandNotFound: Command "od" is not found
[2024-06-14 20:37:57] [INFO     discord.client: logging in using static token
[2024-06-14 20:37:58] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: d78f7e897690067db7b03cb9ab279bb2).
[2024-06-14 20:38:20] [INFO     discord.client: logging in using static token
[2024-06-14 20:38:21] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: c38bf5889023aac705834e8913cedac4).
[2024-06-14 20:40:00] [INFO     discord.client: logging in using static token
[2024-06-14 20:40:02] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 34fab66abd0379aa63ee37fe426ced63).
[2024-06-14 20:40:11] [INFO     discord.client: logging in using static token
[2024-06-14 20:40:12] [INFO     discord.gateway: Shard ID None has connected to Gateway (Session ID: 9b9db5c0da952cc00379e25fc7e264df).
[2024-06-14 20:41:31] [INFO     discord.client: logging in using static token
